State,District,Year,Quarter,Total_transaction,Transaction_amount
Kerala,malappuram district,2018,Q1 (Jan - Mar),239508,256416524
Kerala,pathanamthitta district,2018,Q1 (Jan - Mar),35435,44871379
Kerala,wayanad district,2018,Q1 (Jan - Mar),32702,42622425
Kerala,alappuzha district,2018,Q1 (Jan - Mar),74941,95014765
Kerala,kozhikode district,2018,Q1 (Jan - Mar),206971,264216575
Kerala,kollam district,2018,Q1 (Jan - Mar),76713,93495184
Kerala,thrissur district,2018,Q1 (Jan - Mar),148871,200502461
Kerala,palakkad district,2018,Q1 (Jan - Mar),119324,155278345
Kerala,kannur district,2018,Q1 (Jan - Mar),92260,112128543
Kerala,kottayam district,2018,Q1 (Jan - Mar),102446,132788590
Kerala,ernakulam district,2018,Q1 (Jan - Mar),390006,630357709
Kerala,idukki district,2018,Q1 (Jan - Mar),42527,53257161
Ladakh,kargil district,2018,Q1 (Jan - Mar),1244,3430931
Ladakh,leh ladakh district,2018,Q1 (Jan - Mar),4845,9101926
Lakshadweep,lakshadweep district,2018,Q1 (Jan - Mar),778,1928611
Madhya Pradesh,morena district,2018,Q1 (Jan - Mar),107452,106573744
Madhya Pradesh,alirajpur district,2018,Q1 (Jan - Mar),7310,11011810
Madhya Pradesh,sehore district,2018,Q1 (Jan - Mar),262578,253627459
Madhya Pradesh,rajgarh district,2018,Q1 (Jan - Mar),131433,149723488
Madhya Pradesh,khargone district,2018,Q1 (Jan - Mar),108869,135612637
Madhya Pradesh,satna district,2018,Q1 (Jan - Mar),169230,142054016
Madhya Pradesh,narsinghpur district,2018,Q1 (Jan - Mar),116931,87244331
Madhya Pradesh,jabalpur district,2018,Q1 (Jan - Mar),294739,336129604
Madhya Pradesh,hoshangabad district,2018,Q1 (Jan - Mar),121682,116991872
Madhya Pradesh,vidisha district,2018,Q1 (Jan - Mar),152184,134130249
Madhya Pradesh,balaghat district,2018,Q1 (Jan - Mar),99805,96872703
Madhya Pradesh,singrauli district,2018,Q1 (Jan - Mar),146704,180771690
Madhya Pradesh,betul district,2018,Q1 (Jan - Mar),121719,120159354
Madhya Pradesh,sidhi district,2018,Q1 (Jan - Mar),61516,79354632
Madhya Pradesh,datia district,2018,Q1 (Jan - Mar),43232,30601928
Madhya Pradesh,dewas district,2018,Q1 (Jan - Mar),187518,204604018
Madhya Pradesh,sheopur district,2018,Q1 (Jan - Mar),26051,23353770
Madhya Pradesh,neemuch district,2018,Q1 (Jan - Mar),73718,64779675
Madhya Pradesh,raisen district,2018,Q1 (Jan - Mar),157756,124143402
Madhya Pradesh,mandsaur district,2018,Q1 (Jan - Mar),97213,82585094
Madhya Pradesh,barwani district,2018,Q1 (Jan - Mar),31525,42701906
Madhya Pradesh,katni district,2018,Q1 (Jan - Mar),65116,54955544
Madhya Pradesh,dindori district,2018,Q1 (Jan - Mar),19124,20882302
Madhya Pradesh,shivpuri district,2018,Q1 (Jan - Mar),69731,59453330
Madhya Pradesh,gwalior district,2018,Q1 (Jan - Mar),354555,437805408
Madhya Pradesh,anuppur district,2018,Q1 (Jan - Mar),52207,53676545
