State,Year,Quarter,Transaction_type,Total_transaction,Transaction_amount
Uttarakhand,2018,Q1 (Jan - Mar),Recharge & bill payments,730428,124377517
Uttarakhand,2018,Q1 (Jan - Mar),Peer-to-peer payments,399545,1296603346
Uttarakhand,2018,Q1 (Jan - Mar),Merchant payments,35382,39372913
Uttarakhand,2018,Q1 (Jan - Mar),Financial Services,27761,5637758
Uttarakhand,2018,Q1 (Jan - Mar),Others,53569,42553823
West Bengal,2018,Q1 (Jan - Mar),Recharge & bill payments,5773831,964309485
West Bengal,2018,Q1 (Jan - Mar),Peer-to-peer payments,4383075,8874266825
West Bengal,2018,Q1 (Jan - Mar),Financial Services,665171,119502271
West Bengal,2018,Q1 (Jan - Mar),Merchant payments,443378,366788699
West Bengal,2018,Q1 (Jan - Mar),Others,444770,301111268
Andaman & Nicobar,2018,Q2 (Apr - Jun),Recharge & bill payments,6735,2320944
Andaman & Nicobar,2018,Q2 (Apr - Jun),Peer-to-peer payments,3575,24511925
Andaman & Nicobar,2018,Q2 (Apr - Jun),Merchant payments,603,1024491
Andaman & Nicobar,2018,Q2 (Apr - Jun),Financial Services,59,121336
Andaman & Nicobar,2018,Q2 (Apr - Jun),Others,368,359838
Andhra Pradesh,2018,Q2 (Apr - Jun),Recharge & bill payments,6456387,1598591488
Andhra Pradesh,2018,Q2 (Apr - Jun),Peer-to-peer payments,4745000,20451493098
Andhra Pradesh,2018,Q2 (Apr - Jun),Merchant payments,604847,436785223
Andhra Pradesh,2018,Q2 (Apr - Jun),Financial Services,225621,68952114
Andhra Pradesh,2018,Q2 (Apr - Jun),Others,322063,328092346
Arunachal Pradesh,2018,Q2 (Apr - Jun),Recharge & bill payments,50700,10468878
Arunachal Pradesh,2018,Q2 (Apr - Jun),Peer-to-peer payments,26477,181576281
Arunachal Pradesh,2018,Q2 (Apr - Jun),Merchant payments,2378,4718953
Arunachal Pradesh,2018,Q2 (Apr - Jun),Financial Services,559,363761
Arunachal Pradesh,2018,Q2 (Apr - Jun),Others,2043,1842317
Assam,2018,Q2 (Apr - Jun),Recharge & bill payments,984160,174427478
Assam,2018,Q2 (Apr - Jun),Peer-to-peer payments,530781,2064314053
Assam,2018,Q2 (Apr - Jun),Merchant payments,79307,73366344
Assam,2018,Q2 (Apr - Jun),Financial Services,22773,7051504
Assam,2018,Q2 (Apr - Jun),Others,46852,31425754
Bihar,2018,Q2 (Apr - Jun),Recharge & bill payments,4346849,700649777
Bihar,2018,Q2 (Apr - Jun),Peer-to-peer payments,3447898,12141448845
Bihar,2018,Q2 (Apr - Jun),Merchant payments,311487,318571872
Bihar,2018,Q2 (Apr - Jun),Financial Services,267433,45332532
Bihar,2018,Q2 (Apr - Jun),Others,258711,300128082
Chandigarh,2018,Q2 (Apr - Jun),Recharge & bill payments,224548,76722906
Chandigarh,2018,Q2 (Apr - Jun),Peer-to-peer payments,194627,835296156
Chandigarh,2018,Q2 (Apr - Jun),Merchant payments,34606,29408471
Chandigarh,2018,Q2 (Apr - Jun),Financial Services,11927,3679451
Chandigarh,2018,Q2 (Apr - Jun),Others,13376,16116275
Chhattisgarh,2018,Q2 (Apr - Jun),Recharge & bill payments,1643461,351709628
Chhattisgarh,2018,Q2 (Apr - Jun),Peer-to-peer payments,933066,3703114547
Chhattisgarh,2018,Q2 (Apr - Jun),Merchant payments,118438,129967815
Chhattisgarh,2018,Q2 (Apr - Jun),Financial Services,40299,9405941
Chhattisgarh,2018,Q2 (Apr - Jun),Others,80892,69972510
Dadra and Nagar Haveli and Daman and Diu,2018,Q2 (Apr - Jun),Recharge & bill payments,122834,30595592
Dadra and Nagar Haveli and Daman and Diu,2018,Q2 (Apr - Jun),Peer-to-peer payments,69215,261995613
Dadra and Nagar Haveli and Daman and Diu,2018,Q2 (Apr - Jun),Merchant payments,3544,4685536
Dadra and Nagar Haveli and Daman and Diu,2018,Q2 (Apr - Jun),Financial Services,2996,383806
Dadra and Nagar Haveli and Daman and Diu,2018,Q2 (Apr - Jun),Others,4037,4410224
Delhi,2018,Q2 (Apr - Jun),Recharge & bill payments,4511737,2078183615
Delhi,2018,Q2 (Apr - Jun),Peer-to-peer payments,3542716,14348179103
Delhi,2018,Q2 (Apr - Jun),Merchant payments,837001,631597790
Delhi,2018,Q2 (Apr - Jun),Financial Services,205991,66584728
Delhi,2018,Q2 (Apr - Jun),Others,276278,321754664
Goa,2018,Q2 (Apr - Jun),Recharge & bill payments,120943,30994284
Goa,2018,Q2 (Apr - Jun),Peer-to-peer payments,87878,419492232
Goa,2018,Q2 (Apr - Jun),Merchant payments,12456,20162855
Goa,2018,Q2 (Apr - Jun),Financial Services,1903,733429
Goa,2018,Q2 (Apr - Jun),Others,6395,7221023
Gujarat,2018,Q2 (Apr - Jun),Recharge & bill payments,4643367,1571880396
Gujarat,2018,Q2 (Apr - Jun),Peer-to-peer payments,2483231,10009680530
Gujarat,2018,Q2 (Apr - Jun),Merchant payments,275503,356984574
Gujarat,2018,Q2 (Apr - Jun),Financial Services,140704,38598263
Gujarat,2018,Q2 (Apr - Jun),Others,202928,185541007
Haryana,2018,Q2 (Apr - Jun),Recharge & bill payments,3054284,984897276
Haryana,2018,Q2 (Apr - Jun),Peer-to-peer payments,2388953,9745924809
Haryana,2018,Q2 (Apr - Jun),Merchant payments,369916,334118261
Haryana,2018,Q2 (Apr - Jun),Financial Services,167570,38145882
Haryana,2018,Q2 (Apr - Jun),Others,170208,217328211
Himachal Pradesh,2018,Q2 (Apr - Jun),Recharge & bill payments,385642,83714322
Himachal Pradesh,2018,Q2 (Apr - Jun),Peer-to-peer payments,243436,1043702964
Himachal Pradesh,2018,Q2 (Apr - Jun),Merchant payments,27851,31961300
Himachal Pradesh,2018,Q2 (Apr - Jun),Financial Services,11330,4108919
Himachal Pradesh,2018,Q2 (Apr - Jun),Others,19436,19681794
Jammu & Kashmir,2018,Q2 (Apr - Jun),Recharge & bill payments,794502,166762242
Jammu & Kashmir,2018,Q2 (Apr - Jun),Peer-to-peer payments,771844,2372961687
Jammu & Kashmir,2018,Q2 (Apr - Jun),Financial Services,112422,15636116
Jammu & Kashmir,2018,Q2 (Apr - Jun),Merchant payments,79248,64454257
Jammu & Kashmir,2018,Q2 (Apr - Jun),Others,38310,31391931
Jharkhand,2018,Q2 (Apr - Jun),Recharge & bill payments,1398777,208894647
Jharkhand,2018,Q2 (Apr - Jun),Peer-to-peer payments,1375872,4205862516
Jharkhand,2018,Q2 (Apr - Jun),Financial Services,160637,65554548
Jharkhand,2018,Q2 (Apr - Jun),Merchant payments,130339,138889079
Jharkhand,2018,Q2 (Apr - Jun),Others,86455,102374867
Karnataka,2018,Q2 (Apr - Jun),Recharge & bill payments,7391926,2435924808
Karnataka,2018,Q2 (Apr - Jun),Peer-to-peer payments,7164836,29135024501
Karnataka,2018,Q2 (Apr - Jun),Merchant payments,1874383,1361967204
Karnataka,2018,Q2 (Apr - Jun),Financial Services,194363,93244737
Karnataka,2018,Q2 (Apr - Jun),Others,490939,489418829
Kerala,2018,Q2 (Apr - Jun),Recharge & bill payments,1230869,248080143
Kerala,2018,Q2 (Apr - Jun),Peer-to-peer payments,848291,3436199589
Kerala,2018,Q2 (Apr - Jun),Merchant payments,131217,144501582
Kerala,2018,Q2 (Apr - Jun),Financial Services,41100,12355589
Kerala,2018,Q2 (Apr - Jun),Others,56688,45786439
Ladakh,2018,Q2 (Apr - Jun),Recharge & bill payments,8075,2417434
Ladakh,2018,Q2 (Apr - Jun),Peer-to-peer payments,5667,42638443
Ladakh,2018,Q2 (Apr - Jun),Merchant payments,724,1761366
