State,Year,Quarter,Register,App_opened
Sikkim,2019,Q3 (Jul - Sep),82128,1316804
Tamil Nadu,2019,Q3 (Jul - Sep),8428835,124690342
Telangana,2019,Q3 (Jul - Sep),10090557,318124511
Tripura,2019,Q3 (Jul - Sep),245456,3350991
Uttar Pradesh,2019,Q3 (Jul - Sep),16044607,268142606
Uttarakhand,2019,Q3 (Jul - Sep),1585859,24660988
West Bengal,2019,Q3 (Jul - Sep),9643222,176559011
Andaman & Nicobar,2019,Q4 (Oct - Dec),25960,177012
Andhra Pradesh,2019,Q4 (Oct - Dec),11757883,411201518
Arunachal Pradesh,2019,Q4 (Oct - Dec),129321,2140340
Assam,2019,Q4 (Oct - Dec),1941220,26599449
Bihar,2019,Q4 (Oct - Dec),8342274,163998097
Chandigarh,2019,Q4 (Oct - Dec),289590,4960441
Chhattisgarh,2019,Q4 (Oct - Dec),2725900,57278977
Dadra and Nagar Haveli and Daman and Diu,2019,Q4 (Oct - Dec),197598,3770543
Delhi,2019,Q4 (Oct - Dec),7289883,172682671
Goa,2019,Q4 (Oct - Dec),353546,6290543
Gujarat,2019,Q4 (Oct - Dec),9323799,147973757
Haryana,2019,Q4 (Oct - Dec),6366679,136721888
Himachal Pradesh,2019,Q4 (Oct - Dec),985945,12637904
Jammu & Kashmir,2019,Q4 (Oct - Dec),673367,998572
Jharkhand,2019,Q4 (Oct - Dec),3281371,70181789
Karnataka,2019,Q4 (Oct - Dec),15385416,569674870
Kerala,2019,Q4 (Oct - Dec),3503938,40046033
Ladakh,2019,Q4 (Oct - Dec),43108,470440
Lakshadweep,2019,Q4 (Oct - Dec),2427,17760
Madhya Pradesh,2019,Q4 (Oct - Dec),9165241,237844976
Maharashtra,2019,Q4 (Oct - Dec),23745297,543654112
Manipur,2019,Q4 (Oct - Dec),155358,1855488
Meghalaya,2019,Q4 (Oct - Dec),100030,1490542
Mizoram,2019,Q4 (Oct - Dec),39809,529168
Nagaland,2019,Q4 (Oct - Dec),93124,1454551
Odisha,2019,Q4 (Oct - Dec),6115537,189905719
Puducherry,2019,Q4 (Oct - Dec),204292,3263122
Punjab,2019,Q4 (Oct - Dec),3321742,47673880
Rajasthan,2019,Q4 (Oct - Dec),10925031,288904693
Sikkim,2019,Q4 (Oct - Dec),92972,1552004
Tamil Nadu,2019,Q4 (Oct - Dec),9620493,155011717
Telangana,2019,Q4 (Oct - Dec),11220691,399239044
Tripura,2019,Q4 (Oct - Dec),272298,3610807
Uttar Pradesh,2019,Q4 (Oct - Dec),17949542,324068625
Uttarakhand,2019,Q4 (Oct - Dec),1752677,28853867
West Bengal,2019,Q4 (Oct - Dec),10885058,244326613
Andaman & Nicobar,2020,Q1 (Jan - Mar),28368,193586
Andhra Pradesh,2020,Q1 (Jan - Mar),13022060,486513773
Arunachal Pradesh,2020,Q1 (Jan - Mar),149066,2598321
Assam,2020,Q1 (Jan - Mar),2185938,33097892
Bihar,2020,Q1 (Jan - Mar),9351234,183868505
Chandigarh,2020,Q1 (Jan - Mar),312887,5201211
Chhattisgarh,2020,Q1 (Jan - Mar),3016487,64224101
